fecha,nombre_pais,codigo_pais,nombre_ccaa,codigo_ccaa,lat,long,casos_confirmados,casos_UCI,casos_fallecidos,casos_recuperados,caso_confirmado_diario
2020-03-13,España,ES,Extremadura,11,39.19149925,-6.15082693,39,1,1,,20
2020-03-13,España,ES,Galicia,12,42.75679663,-7.910563441,85,2,0,,50
2020-03-13,España,ES,Madrid,13,40.49508296,-3.717040066,1990,180,81,,602
2020-03-13,España,ES,Melilla,19,35.29082799,-2.950535523,2,0,0,,2
2020-03-13,España,ES,Murcia,14,38.00236791,-1.485758575,35,1,0,,9
2020-03-13,España,ES,Navarra,15,42.66720115,-1.646111769,130,4,0,,57
2020-03-13,España,ES,País Vasco,16,43.04336306,-2.616817921,417,20,14,,71
2020-03-13,España,ES,La Rioja,17,42.27487336,-2.51703984,243,2,2,,38
2020-03-12,España,ES,Andalucía,1,37.46327438,-4.575625136,115,4,0,,25
2020-03-12,España,ES,Aragón,2,41.51953555,-0.659846412,64,3,6,,19
2020-03-12,España,ES,Asturias,3,43.29235786,-5.993509325,47,2,1,,15
2020-03-12,España,ES,Baleares,4,39.57518899,2.912291721,22,2,1,,6
2020-03-12,España,ES,Canarias,5,28.33979859,-15.67209842,51,3,0,,14
2020-03-12,España,ES,Cantabria,6,43.19751954,-4.030012132,16,0,0,,4
2020-03-12,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,115,9,1,,44
2020-03-12,España,ES,Castilla y León,7,41.75439621,-4.78188694,92,4,0,,21
2020-03-12,España,ES,Cataluña,9,41.79855378,1.529053485,260,0,4,,104
2020-03-12,España,ES,Ceuta,18,35.89340699,-5.343424039,0,0,0,,0
2020-03-12,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,76,2,1,,11
2020-03-12,España,ES,Extremadura,11,39.19149925,-6.15082693,19,1,1,,10
2020-03-12,España,ES,Galicia,12,42.75679663,-7.910563441,35,2,0,,-4
2020-03-12,España,ES,Madrid,13,40.49508296,-3.717040066,1388,135,56,,364
2020-03-12,España,ES,Melilla,19,35.29082799,-2.950535523,0,0,0,,0
2020-03-12,España,ES,Murcia,14,38.00236791,-1.485758575,26,1,0,,15
2020-03-12,España,ES,Navarra,15,42.66720115,-1.646111769,73,3,0,,27
2020-03-12,España,ES,País Vasco,16,43.04336306,-2.616817921,346,18,11,,121
2020-03-12,España,ES,La Rioja,17,42.27487336,-2.51703984,205,1,2,,26
2020-03-11,España,ES,Andalucía,1,37.46327438,-4.575625136,90,3,0,,19
2020-03-11,España,ES,Aragón,2,41.51953555,-0.659846412,45,3,4,,7
2020-03-11,España,ES,Asturias,3,43.29235786,-5.993509325,32,2,0,,10
2020-03-11,España,ES,Baleares,4,39.57518899,2.912291721,16,1,0,,3
2020-03-11,España,ES,Canarias,5,28.33979859,-15.67209842,37,1,0,,12
2020-03-11,España,ES,Cantabria,6,43.19751954,-4.030012132,12,0,0,,0
2020-03-11,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,71,5,0,,32
2020-03-11,España,ES,Castilla y León,7,41.75439621,-4.78188694,71,2,0,,15
2020-03-11,España,ES,Cataluña,9,41.79855378,1.529053485,156,0,3,,32
2020-03-11,España,ES,Ceuta,18,35.89340699,-5.343424039,0,0,0,,0
2020-03-11,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,65,1,1,,15
2020-03-11,España,ES,Extremadura,11,39.19149925,-6.15082693,9,1,0,,1
2020-03-11,España,ES,Galicia,12,42.75679663,-7.910563441,39,2,0,,17
2020-03-11,España,ES,Madrid,13,40.49508296,-3.717040066,1024,102,31,,242
2020-03-11,España,ES,Melilla,19,35.29082799,-2.950535523,0,0,0,,0
2020-03-11,España,ES,Murcia,14,38.00236791,-1.485758575,11,0,0,,2
2020-03-11,España,ES,Navarra,15,42.66720115,-1.646111769,46,3,0,,34
2020-03-11,España,ES,País Vasco,16,43.04336306,-2.616817921,225,15,6,,30
2020-03-11,España,ES,La Rioja,17,42.27487336,-2.51703984,179,1,2,,35
2020-03-10,España,ES,Andalucía,1,37.46327438,-4.575625136,71,1,0,,17
2020-03-10,España,ES,Aragón,2,41.51953555,-0.659846412,38,3,3,,25
2020-03-10,España,ES,Asturias,3,43.29235786,-5.993509325,22,2,0,,15
2020-03-10,España,ES,Baleares,4,39.57518899,2.912291721,13,1,0,,2
2020-03-10,España,ES,Canarias,5,28.33979859,-15.67209842,25,1,0,,3
2020-03-10,España,ES,Cantabria,6,43.19751954,-4.030012132,12,0,0,,0
2020-03-10,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,39,2,0,,13
2020-03-10,España,ES,Castilla y León,7,41.75439621,-4.78188694,56,2,0,,33
2020-03-10,España,ES,Cataluña,9,41.79855378,1.529053485,124,0,3,,49
2020-03-10,España,ES,Ceuta,18,35.89340699,-5.343424039,0,0,0,,0
2020-03-10,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,50,1,1,,13
2020-03-10,España,ES,Extremadura,11,39.19149925,-6.15082693,8,0,0,,1
2020-03-10,España,ES,Galicia,12,42.75679663,-7.910563441,22,2,0,,16
2020-03-10,España,ES,Madrid,13,40.49508296,-3.717040066,782,77,21,,313
2020-03-10,España,ES,Melilla,19,35.29082799,-2.950535523,0,0,0,,0
2020-03-10,España,ES,Murcia,14,38.00236791,-1.485758575,9,0,0,,5
2020-03-10,España,ES,Navarra,15,42.66720115,-1.646111769,12,2,0,,9
2020-03-10,España,ES,País Vasco,16,43.04336306,-2.616817921,195,5,6,,46
2020-03-10,España,ES,La Rioja,17,42.27487336,-2.51703984,144,1,1,,63
2020-03-09,España,ES,Andalucía,1,37.46327438,-4.575625136,54,1,0,,54
2020-03-09,España,ES,Aragón,2,41.51953555,-0.659846412,13,1,1,,13
2020-03-09,España,ES,Asturias,3,43.29235786,-5.993509325,7,2,0,,7
2020-03-09,España,ES,Baleares,4,39.57518899,2.912291721,11,0,0,,11
2020-03-09,España,ES,Canarias,5,28.33979859,-15.67209842,22,0,0,,22
2020-03-09,España,ES,Cantabria,6,43.19751954,-4.030012132,12,0,0,,12
2020-03-09,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,26,2,0,,26
2020-03-09,España,ES,Castilla y León,7,41.75439621,-4.78188694,23,1,0,,23
2020-03-09,España,ES,Cataluña,9,41.79855378,1.529053485,75,0,1,,75
2020-03-09,España,ES,Ceuta,18,35.89340699,-5.343424039,0,0,0,,0
2020-03-09,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,37,1,1,,37
2020-03-09,España,ES,Extremadura,11,39.19149925,-6.15082693,7,0,0,,7
2020-03-09,España,ES,Galicia,12,42.75679663,-7.910563441,6,0,0,,6
2020-03-09,España,ES,Madrid,13,40.49508296,-3.717040066,469,53,8,,469
2020-03-09,España,ES,Melilla,19,35.29082799,-2.950535523,0,0,0,,0
2020-03-09,España,ES,Murcia,14,38.00236791,-1.485758575,4,0,0,,4
2020-03-09,España,ES,Navarra,15,42.66720115,-1.646111769,3,1,0,,3
2020-03-09,España,ES,País Vasco,16,43.04336306,-2.616817921,149,5,5,,149
2020-03-09,España,ES,La Rioja,17,42.27487336,-2.51703984,81,1,0,,81
2020-03-08,España,ES,Andalucía,1,37.46327438,-4.575625136,,,,,
2020-03-08,España,ES,Aragón,2,41.51953555,-0.659846412,,,,,
2020-03-08,España,ES,Asturias,3,43.29235786,-5.993509325,,,,,
2020-03-08,España,ES,Baleares,4,39.57518899,2.912291721,,,,,
2020-03-08,España,ES,Canarias,5,28.33979859,-15.67209842,,,,,
2020-03-08,España,ES,Cantabria,6,43.19751954,-4.030012132,,,,,
2020-03-08,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,,,,,
2020-03-08,España,ES,Castilla y León,7,41.75439621,-4.78188694,,,,,
2020-03-08,España,ES,Cataluña,9,41.79855378,1.529053485,,,,,
2020-03-08,España,ES,Ceuta,18,35.89340699,-5.343424039,,,,,
2020-03-08,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,,,,,
2020-03-08,España,ES,Extremadura,11,39.19149925,-6.15082693,,,,,
2020-03-08,España,ES,Galicia,12,42.75679663,-7.910563441,,,,,
2020-03-08,España,ES,Madrid,13,40.49508296,-3.717040066,,,,,
2020-03-08,España,ES,Melilla,19,35.29082799,-2.950535523,,,,,
2020-03-08,España,ES,Murcia,14,38.00236791,-1.485758575,,,,,
2020-03-08,España,ES,Navarra,15,42.66720115,-1.646111769,,,,,
2020-03-08,España,ES,País Vasco,16,43.04336306,-2.616817921,,,,,
2020-03-08,España,ES,La Rioja,17,42.27487336,-2.51703984,,,,,
2020-03-07,España,ES,Andalucía,1,37.46327438,-4.575625136,,,,,
2020-03-07,España,ES,Aragón,2,41.51953555,-0.659846412,,,,,
2020-03-07,España,ES,Asturias,3,43.29235786,-5.993509325,,,,,
2020-03-07,España,ES,Baleares,4,39.57518899,2.912291721,,,,,
2020-03-07,España,ES,Canarias,5,28.33979859,-15.67209842,,,,,
2020-03-07,España,ES,Cantabria,6,43.19751954,-4.030012132,,,,,
2020-03-07,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,,,,,
2020-03-07,España,ES,Castilla y León,7,41.75439621,-4.78188694,,,,,
2020-03-07,España,ES,Cataluña,9,41.79855378,1.529053485,,,,,
2020-03-07,España,ES,Ceuta,18,35.89340699,-5.343424039,,,,,
2020-03-07,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,,,,,
2020-03-07,España,ES,Extremadura,11,39.19149925,-6.15082693,,,,,
2020-03-07,España,ES,Galicia,12,42.75679663,-7.910563441,,,,,
2020-03-07,España,ES,Madrid,13,40.49508296,-3.717040066,,,,,
2020-03-07,España,ES,Melilla,19,35.29082799,-2.950535523,,,,,
2020-03-07,España,ES,Murcia,14,38.00236791,-1.485758575,,,,,
2020-03-07,España,ES,Navarra,15,42.66720115,-1.646111769,,,,,
2020-03-07,España,ES,País Vasco,16,43.04336306,-2.616817921,,,,,
2020-03-07,España,ES,La Rioja,17,42.27487336,-2.51703984,,,,,
2020-03-06,España,ES,Andalucía,1,37.46327438,-4.575625136,21,1,0,,9
2020-03-06,España,ES,Aragón,2,41.51953555,-0.659846412,6,1,1,,5
2020-03-06,España,ES,Asturias,3,43.29235786,-5.993509325,5,2,0,,0
2020-03-06,España,ES,Baleares,4,39.57518899,2.912291721,6,0,0,,0
2020-03-06,España,ES,Canarias,5,28.33979859,-15.67209842,11,0,0,,3
2020-03-06,España,ES,Cantabria,6,43.19751954,-4.030012132,10,0,0,,0
2020-03-06,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,15,1,0,,2
2020-03-06,España,ES,Castilla y León,7,41.75439621,-4.78188694,14,1,0,,3
2020-03-06,España,ES,Cataluña,9,41.79855378,1.529053485,24,0,0,,0
2020-03-06,España,ES,Ceuta,18,35.89340699,-5.343424039,0,0,0,,0
2020-03-06,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,30,1,1,,11
2020-03-06,España,ES,Extremadura,11,39.19149925,-6.15082693,6,0,0,,0
2020-03-06,España,ES,Galicia,12,42.75679663,-7.910563441,3,0,0,,2
2020-03-06,España,ES,Madrid,13,40.49508296,-3.717040066,137,2,2,,47
2020-03-06,España,ES,Melilla,19,35.29082799,-2.950535523,0,0,0,,0
2020-03-06,España,ES,Murcia,14,38.00236791,-1.485758575,0,0,0,,0
2020-03-06,España,ES,Navarra,15,42.66720115,-1.646111769,3,1,0,,0
2020-03-06,España,ES,País Vasco,16,43.04336306,-2.616817921,45,1,1,,28
2020-03-06,España,ES,La Rioja,17,42.27487336,-2.51703984,29,0,0,,18
2020-03-05,España,ES,Andalucía,1,37.46327438,-4.575625136,12,1,0,,-1
2020-03-05,España,ES,Aragón,2,41.51953555,-0.659846412,1,1,0,,1
2020-03-05,España,ES,Asturias,3,43.29235786,-5.993509325,5,2,0,,3
2020-03-05,España,ES,Baleares,4,39.57518899,2.912291721,6,0,0,,1
2020-03-05,España,ES,Canarias,5,28.33979859,-15.67209842,8,0,0,,1
2020-03-05,España,ES,Cantabria,6,43.19751954,-4.030012132,10,0,0,,0
2020-03-05,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,13,1,0,,1
2020-03-05,España,ES,Castilla y León,7,41.75439621,-4.78188694,11,1,0,,0
2020-03-05,España,ES,Cataluña,9,41.79855378,1.529053485,24,0,0,,9
2020-03-05,España,ES,Ceuta,18,35.89340699,-5.343424039,0,0,0,,0
2020-03-05,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,19,0,1,,0
2020-03-05,España,ES,Extremadura,11,39.19149925,-6.15082693,6,0,0,,0
2020-03-05,España,ES,Galicia,12,42.75679663,-7.910563441,1,0,0,,0
2020-03-05,España,ES,Madrid,13,40.49508296,-3.717040066,90,2,1,,20
2020-03-05,España,ES,Melilla,19,35.29082799,-2.950535523,0,0,0,,0
2020-03-05,España,ES,Murcia,14,38.00236791,-1.485758575,0,0,0,,0
2020-03-05,España,ES,Navarra,15,42.66720115,-1.646111769,3,1,0,,0
2020-03-05,España,ES,País Vasco,16,43.04336306,-2.616817921,17,0,1,,0
2020-03-05,España,ES,La Rioja,17,42.27487336,-2.51703984,11,0,0,,4
2020-03-04,España,ES,Andalucía,1,37.46327438,-4.575625136,13,1,0,,0
2020-03-04,España,ES,Aragón,2,41.51953555,-0.659846412,0,0,0,,0
2020-03-04,España,ES,Asturias,3,43.29235786,-5.993509325,2,1,0,,1
2020-03-04,España,ES,Baleares,4,39.57518899,2.912291721,5,0,0,,3
2020-03-04,España,ES,Canarias,5,28.33979859,-15.67209842,7,0,0,,0
2020-03-04,España,ES,Cantabria,6,43.19751954,-4.030012132,10,0,0,,0
2020-03-04,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,12,1,0,,5
2020-03-04,España,ES,Castilla y León,7,41.75439621,-4.78188694,11,1,0,,3
2020-03-04,España,ES,Cataluña,9,41.79855378,1.529053485,15,0,0,,0
2020-03-04,España,ES,Ceuta,18,35.89340699,-5.343424039,0,0,0,,0
2020-03-04,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,19,0,1,,4
2020-03-04,España,ES,Extremadura,11,39.19149925,-6.15082693,6,0,0,,0
2020-03-04,España,ES,Galicia,12,42.75679663,-7.910563441,1,0,0,,1
2020-03-04,España,ES,Madrid,13,40.49508296,-3.717040066,70,2,0,,21
2020-03-04,España,ES,Melilla,19,35.29082799,-2.950535523,0,0,0,,0
2020-03-04,España,ES,Murcia,14,38.00236791,-1.485758575,0,0,0,,0
2020-03-04,España,ES,Navarra,15,42.66720115,-1.646111769,3,1,0,,2
2020-03-04,España,ES,País Vasco,16,43.04336306,-2.616817921,17,0,0,,4
2020-03-04,España,ES,La Rioja,17,42.27487336,-2.51703984,7,0,0,,4
2020-03-03,España,ES,Andalucía,1,37.46327438,-4.575625136,13,0,0,,1
2020-03-03,España,ES,Aragón,2,41.51953555,-0.659846412,0,0,0,,0
2020-03-03,España,ES,Asturias,3,43.29235786,-5.993509325,1,0,0,,0
2020-03-03,España,ES,Baleares,4,39.57518899,2.912291721,2,0,0,,0
2020-03-03,España,ES,Canarias,5,28.33979859,-15.67209842,7,0,0,,0
2020-03-03,España,ES,Cantabria,6,43.19751954,-4.030012132,10,0,0,,0
2020-03-03,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,7,0,0,,4
2020-03-03,España,ES,Castilla y León,7,41.75439621,-4.78188694,8,0,0,,5
2020-03-03,España,ES,Cataluña,9,41.79855378,1.529053485,15,0,0,,0
2020-03-03,España,ES,Ceuta,18,35.89340699,-5.343424039,0,0,0,,0
2020-03-03,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,15,0,0,,0
2020-03-03,España,ES,Extremadura,11,39.19149925,-6.15082693,6,0,0,,0
2020-03-03,España,ES,Galicia,12,42.75679663,-7.910563441,0,0,0,,0
2020-03-03,España,ES,Madrid,13,40.49508296,-3.717040066,49,0,0,,20
2020-03-03,España,ES,Melilla,19,35.29082799,-2.950535523,0,0,0,,0
2020-03-03,España,ES,Murcia,14,38.00236791,-1.485758575,0,0,0,,0
2020-03-03,España,ES,Navarra,15,42.66720115,-1.646111769,1,0,0,,0
2020-03-03,España,ES,País Vasco,16,43.04336306,-2.616817921,13,0,0,,4
2020-03-03,España,ES,La Rioja,17,42.27487336,-2.51703984,3,0,0,,2
2020-03-02,España,ES,Andalucía,1,37.46327438,-4.575625136,12,0,0,,6
2020-03-02,España,ES,Aragón,2,41.51953555,-0.659846412,0,0,0,,-1
2020-03-02,España,ES,Asturias,3,43.29235786,-5.993509325,1,0,0,,1
2020-03-02,España,ES,Baleares,4,39.57518899,2.912291721,2,0,0,,1
2020-03-02,España,ES,Canarias,5,28.33979859,-15.67209842,7,0,0,,1
2020-03-02,España,ES,Cantabria,6,43.19751954,-4.030012132,10,0,0,,10
2020-03-02,España,ES,Castilla-La Mancha,8,39.58098963,-3.004627772,3,0,0,,3
2020-03-02,España,ES,Castilla y León,7,41.75439621,-4.78188694,3,0,0,,1
2020-03-02,España,ES,Cataluña,9,41.79855378,1.529053485,15,0,0,,12
2020-03-02,España,ES,Ceuta,18,35.89340699,-5.343424039,0,0,0,,0
2020-03-02,España,ES,Comunidad Valenciana,10,39.40155846,-0.5547267325,15,0,0,,7
