fecha,codigo_iso_pais,nombre_pais,codigo_iso_ccaa,codigo_ine_ccaa,nombre_ccaa,lat,long,codigoIsoProvincia,nombreProvincia,casosConfirmados,casosHospitalizados,casosUCI,casosFallecidos,casosAlta,casosCurados,casosConfirmadosDiario,casosUciDiario,casosFallecidosDiario
2020-03-24,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,259,134,,12,15,5,44,,7
2020-03-24,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,665,333,,26,69,46,145,,5
2020-03-24,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,427,200,,13,23,5,76,,8
2020-03-23,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,74,23,,2,3,2,16,,1
2020-03-23,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,178,50,,3,6,4,44,,1
2020-03-23,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,191,50,,4,7,0,11,,1
2020-03-23,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,374,169,,17,18,0,39,,4
2020-03-23,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,58,29,,1,1,0,11,,1
2020-03-23,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,215,79,,5,12,5,44,,2
2020-03-23,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,520,192,,21,44,34,15,,0
2020-03-23,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,351,152,,5,13,5,56,,1
2020-03-22,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,58,17,,1,,,5,,1
2020-03-22,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,134,34,,2,,,8,,2
2020-03-22,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,180,39,,3,,,37,,0
2020-03-22,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,335,145,,13,,,46,,0
2020-03-22,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,47,24,,0,,,10,,0
2020-03-22,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,171,62,,3,,,33,,1
2020-03-22,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,505,169,,21,,,21,,1
2020-03-22,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,295,126,,4,,,50,,2
2020-03-21,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,53,13,,0,,,7,,0
2020-03-21,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,126,27,,0,,,23,,0
2020-03-21,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,143,34,,3,,,18,,3
2020-03-21,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,289,100,,13,,,45,,3
2020-03-21,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,37,16,,0,,,1,,0
2020-03-21,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,138,63,,2,,,19,,0
2020-03-21,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,484,161,,20,,,60,,3
2020-03-21,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,245,89,,2,,,55,,1
2020-03-20,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,46,9,,0,,,9,,0
2020-03-20,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,103,19,,0,,,19,,0
2020-03-20,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,125,25,,0,,,24,,0
2020-03-20,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,244,87,,10,,,68,,3
2020-03-20,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,36,13,,0,,,13,,0
2020-03-20,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,119,41,,2,,,31,,0
2020-03-20,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,424,109,,17,,,63,,4
2020-03-20,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,190,64,,1,,,52,,0
2020-03-19,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,37,7,,0,,,7,,0
2020-03-19,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,84,15,,0,,,10,,0
2020-03-19,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,101,26,,0,,,23,,0
2020-03-19,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,176,66,,7,,,46,,1
2020-03-19,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,23,15,,0,,,9,,0
2020-03-19,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,88,32,,2,,,11,,0
2020-03-19,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,361,93,,13,,,28,,3
2020-03-19,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,138,53,,1,,,15,,0
2020-03-18,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,30,3,,0,0,0,4,,0
2020-03-18,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,74,3,,0,0,0,18,,0
2020-03-18,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,78,19,,0,0,0,10,,0
2020-03-18,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,130,29,,6,0,0,35,,4
2020-03-18,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,14,4,,0,0,0,6,,0
2020-03-18,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,77,10,,2,0,0,25,,0
2020-03-18,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,333,113,,10,0,0,55,,4
2020-03-18,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,123,42,,1,1,1,23,,0
2020-03-17,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,26,3,,0,0,0,3,,0
2020-03-17,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,56,3,,0,0,0,8,,0
2020-03-17,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,68,18,,0,0,0,27,,0
2020-03-17,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,95,36,,2,0,0,28,,2
2020-03-17,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,8,1,,0,0,0,2,,0
2020-03-17,ES,España,ES-AN,1,Andalucía,37.76922,-3.79028,ES-J,Jaén,52,8,,2,0,0,2,,0
2020-03-17,ES,España,ES-AN,1,Andalucía,36.72016,-4.42034,ES-MA,Málaga,278,97,,6,0,0,43,,1
2020-03-17,ES,España,ES-AN,1,Andalucía,37.38283,-5.97317,ES-SE,Sevilla,100,34,,1,1,1,16,,1
2020-03-16,ES,España,ES-AN,1,Andalucía,36.83814,-2.45974,ES-AL,Almería,23,1,1,0,0,0,0,1,0
2020-03-16,ES,España,ES-AN,1,Andalucía,36.52978,-6.29465,ES-CA,Cádiz,48,3,1,0,0,0,0,0,0
2020-03-16,ES,España,ES-AN,1,Andalucía,37.89155,-4.77275,ES-CO,Córdoba,41,7,5,0,0,0,0,3,0
2020-03-16,ES,España,ES-AN,1,Andalucía,37.18817,-3.60667,ES-GR,Granada,67,28,4,0,0,0,0,1,0
2020-03-16,ES,España,ES-AN,1,Andalucía,37.26638,-6.94004,ES-H,Huelva,6,5,1,0,0,0,0,1,0
